epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1191,1.20714,3.38124,1.09994,0.0143,0.77778,0.34159,0.16328,1.02075,3.43565,1.02026,5.716e-05,5.716e-05,5.716e-05
2,37.0632,1.05475,2.82068,0.98776,0.02142,1,0.6033,0.3837,1.03293,3.23053,0.96222,0.000126064,0.000126064,0.000126064
3,54.7983,1.00077,1.93301,0.94587,0.02041,1,0.53181,0.36087,1.02933,2.72494,0.96388,0.000192138,0.000192138,0.000192138
4,83.8201,0.96898,1.51252,0.97034,0.02028,1,0.49447,0.33621,1.17317,2.53965,1.01768,0.000255382,0.000255382,0.000255382
5,116.429,0.94249,1.3429,0.95908,0.89422,0.33333,0.55806,0.40396,1.00583,2.4082,0.95368,0.000315798,0.000315798,0.000315798
6,145.943,0.93516,1.31005,0.96388,0.88472,0.3177,0.6503,0.44559,1.10229,2.47499,0.95367,0.000373383,0.000373383,0.000373383
7,163.894,0.98804,1.24716,0.98171,0.36961,0.96536,0.75972,0.52309,0.98287,2.40458,0.92109,0.00042814,0.00042814,0.00042814
8,180.604,0.92177,1.09279,0.97687,0.64571,0.72222,0.82917,0.5615,1.13455,2.4494,0.95828,0.000480067,0.000480067,0.000480067
9,207.153,0.93509,1.0818,0.96985,0.02014,1,0.83783,0.65203,0.68464,2.52233,0.88369,0.000529164,0.000529164,0.000529164
10,231.374,0.9278,1.03388,0.97359,0.36095,1,0.96778,0.7572,0.92881,2.38588,0.92251,0.000575433,0.000575433,0.000575433
11,254.616,0.88585,0.91943,0.94284,1,0.70427,0.98738,0.70416,1.10284,2.0571,0.96528,0.000618871,0.000618871,0.000618871
12,278.71,0.93787,0.96373,1.00437,0.95737,0.49793,0.90109,0.6006,1.28671,2.09742,1.02331,0.000659481,0.000659481,0.000659481
13,295.09,0.90244,0.96564,0.96532,0.86403,0.80786,0.88417,0.61505,1.37402,1.93327,1.05812,0.000697261,0.000697261,0.000697261
14,313.11,0.88717,0.9106,0.93633,0.73961,0.86,0.9219,0.71304,0.85049,1.69892,0.94871,0.000732211,0.000732211,0.000732211
15,343.524,0.9394,0.88984,0.97993,0.82039,0.91559,0.93944,0.62564,1.19942,1.73825,1.01949,0.000764332,0.000764332,0.000764332
16,359.98,0.90832,0.87899,0.96324,0.71344,0.75514,0.78151,0.55013,1.03904,1.75507,0.93328,0.000793624,0.000793624,0.000793624
17,375.985,0.85611,0.8507,0.95826,0.76749,0.8072,0.85565,0.68296,0.71205,1.65576,0.8631,0.000820086,0.000820086,0.000820086
18,391.242,0.87504,0.88512,0.95144,0.77396,0.93348,0.97071,0.77945,0.83964,1.44295,0.88471,0.000843719,0.000843719,0.000843719
19,406.474,0.87793,0.85419,0.9574,0.84336,0.94106,0.995,0.6368,1.44351,1.54967,1.10387,0.000864522,0.000864522,0.000864522
20,421.679,0.82314,0.84014,0.94918,0.88737,0.90998,0.97833,0.62861,1.29748,1.32989,1.04446,0.000882496,0.000882496,0.000882496
21,437.156,0.82106,0.79242,0.94897,0.89343,0.86111,0.97071,0.62219,1.28219,1.15611,1.05784,0.000863116,0.000863116,0.000863116
22,452.604,0.80034,0.76088,0.9576,0.9323,0.91667,0.97833,0.5633,1.57819,1.01046,1.1708,0.000834822,0.000834822,0.000834822
23,468.135,0.80996,0.74554,0.94522,0.96896,0.93337,0.995,0.68194,1.27108,0.88612,0.9906,0.000806528,0.000806528,0.000806528
24,487.017,0.85916,0.8011,0.9602,0.88849,0.97961,0.995,0.76281,1.15716,0.91574,0.97019,0.000778233,0.000778233,0.000778233
25,516.559,0.76636,0.7116,0.92707,0.88219,0.97858,0.995,0.69027,1.23305,0.97734,0.98647,0.000749939,0.000749939,0.000749939
26,545.78,0.79886,0.71318,0.93488,0.9176,0.97674,0.995,0.73574,1.01318,0.9197,0.92812,0.000721645,0.000721645,0.000721645
27,570.453,0.74807,0.66985,0.91622,0.96441,0.98105,0.995,0.7366,1.10144,0.86023,0.9628,0.000693351,0.000693351,0.000693351
28,599.734,0.74595,0.67076,0.93265,0.94017,1,0.995,0.56484,1.57501,0.84842,1.21705,0.000665057,0.000665057,0.000665057
29,629.612,0.71782,0.64775,0.89514,0.97728,1,0.995,0.63988,1.25649,0.69009,1.03822,0.000636762,0.000636762,0.000636762
30,658.074,0.75011,0.67316,0.9378,0.97824,1,0.995,0.59934,1.41975,0.72698,1.11411,0.000608468,0.000608468,0.000608468
31,672.787,0.75866,0.68131,0.93398,0.9617,1,0.995,0.58178,1.48138,0.75238,1.14901,0.000580174,0.000580174,0.000580174
32,694.028,0.71474,0.62756,0.90312,0.96576,0.95162,0.995,0.70346,1.14591,0.70617,1.00297,0.00055188,0.00055188,0.00055188
33,716.679,0.68647,0.61853,0.90091,0.94714,0.98813,0.995,0.7706,0.87668,0.61885,0.94091,0.000523586,0.000523586,0.000523586
34,739.026,0.67399,0.61388,0.90358,0.97611,0.93122,0.995,0.77849,0.76804,0.65141,0.91046,0.000495291,0.000495291,0.000495291
35,769.44,0.70936,0.60527,0.90114,0.98129,0.92207,0.995,0.72947,0.98404,0.71387,0.94543,0.000466997,0.000466997,0.000466997
36,794.001,0.73627,0.63595,0.91342,0.90868,0.92546,0.995,0.63702,1.36703,0.77342,1.09869,0.000438703,0.000438703,0.000438703
37,808.901,0.72804,0.6185,0.91369,0.9764,0.9203,0.995,0.72678,0.99488,0.70845,0.94888,0.000410409,0.000410409,0.000410409
38,823.621,0.71367,0.60313,0.92132,0.93359,0.92938,0.98738,0.75143,0.89811,0.74812,0.93019,0.000382115,0.000382115,0.000382115
39,838.46,0.70041,0.58623,0.90547,0.92324,0.91978,0.98738,0.71163,0.99181,0.77679,0.95072,0.00035382,0.00035382,0.00035382
40,853.248,0.66525,0.58283,0.8954,0.97885,0.93834,0.995,0.69489,1.13155,0.65011,1.00033,0.000325526,0.000325526,0.000325526
41,868.023,0.63187,0.56445,0.86617,0.96918,0.99069,0.995,0.71791,1.02758,0.60095,0.96184,0.000297232,0.000297232,0.000297232
42,882.412,0.60047,0.55782,0.85681,0.97058,1,0.995,0.72751,0.96338,0.6151,0.93921,0.000268938,0.000268938,0.000268938
43,896.854,0.6508,0.57931,0.89436,0.95885,1,0.995,0.7639,0.82029,0.64196,0.90864,0.000240644,0.000240644,0.000240644
44,911.794,0.62038,0.59148,0.86932,0.94607,0.96732,0.995,0.72294,1.01232,0.71786,0.94687,0.000212349,0.000212349,0.000212349
45,926.144,0.58549,0.58661,0.85676,0.95124,0.95016,0.995,0.71829,1.04342,0.71595,0.95497,0.000184055,0.000184055,0.000184055
46,940.559,0.57793,0.56755,0.85817,0.95845,0.95797,0.995,0.7118,1.10685,0.66099,0.97519,0.000155761,0.000155761,0.000155761
47,955.047,0.58388,0.55186,0.8511,0.95567,0.97437,0.995,0.71881,1.03604,0.61441,0.95546,0.000127467,0.000127467,0.000127467
48,969.811,0.5748,0.54127,0.85706,0.96799,0.99594,0.995,0.73906,0.98218,0.56976,0.93815,9.91726e-05,9.91726e-05,9.91726e-05
49,984.331,0.54722,0.51219,0.84016,0.97111,0.99879,0.995,0.73906,0.97323,0.56375,0.93393,7.08784e-05,7.08784e-05,7.08784e-05
50,998.761,0.54991,0.52182,0.8442,0.97041,0.99787,0.995,0.73906,0.96415,0.56265,0.93005,4.25842e-05,4.25842e-05,4.25842e-05
